*********	*********	*********	*********	*********	*********	*********	*********	*********
ID SOLICITACAO	DATA SOLICITACAO	NOME CLIENTE	SOBRENOME CLIENTE	UF CLIENTE/CIDADE	DEPARTAMENTO	SKU/PRODUTO/CARACTERISTICAS	NUM NF/VALOR NF	REGIAO
405264	12*10*2019	Maria_Cecília	Chapelin_Andrade	Acre/Cruzeiro do Sul	Eletroportateis	LQ12/Liquidificador-5velocidades	872149619-588,82	Norte
395030	16*1*2019	Lavínia	Ferraz_Giácomo	Acre/Rio Branco	          Eletrônicos	NT8F/Notebook-i55GB500GB	873818326-3582,23	Norte
197181	19*1*2019	Beatriz	D’Ávila_Fischer	Acre/Rio Branco	           Eletrodoméstico	CFO4/Fogão-6Bocas110V	890282171-1467,6	Norte
549999	16*6*2019	Maria Luiza	Reymond_Torres	Acre/Rio Branco	           Eletrodoméstico	CFO4/Fogão-6Bocas110V	819814852-1467,6	Norte
629466	28*10*2019	João Pedro	Andrade_Bongiovanni	Acre/Tarauacá	          Eletrônicos	NT8F/Notebook-i55GB500GB	883985109-3582,23	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
158801	9*3*2019	Thomas	Annenberg_Antunes	Alagoas/Arapiraca	        Eletrônicos	SP13/Celular-4G64GB	894623116-3028,9	Nordeste
454688	23*4*2019	Maria_Cecília	Vitti_Guimarães	Alagoas/Arapiraca	           Eletrodoméstico	CFO4/Fogão-6Bocas110V	845252873-1467,6	Nordeste
620652	6*2*2019	Maria_Júlia	Resende_Montenegro	Alagoas/Maceió	              Eletroportateis	FP32/Ferro de passar-500Wvapor	851719729-552,42	Nordeste
703053	30*7*2019	Catarina	Dolabella_Castiel	Alagoas/Maceió	          Eletrônicos	NT8F/Notebook-i55GB500GB	840692205-3582,23	Nordeste
360077	2*9*2019	João Vitor	Ganzarolli_Riche	Alagoas/Maceió	        Eletrônicos	SP3X/Celular-4GB128GB	892373938-4821,03	Nordeste
506603	30*10*2019	Isaac	Andrade_Guimarães	Alagoas/Maceió	Eletroportateis	LQ67/Liquidificador-3velocidades	880821221-302,01	Nordeste
527220	6*4*2019	Davi Lucca	Fagundes_Bial	Alagoas/Palmeira dos Índios	        Eletrônicos	SP13/Celular-4G64GB	841767385-3028,9	Nordeste
377930	3*4*2019	Caio	Bonner_Marques	Alagoas/Rio Largo	        Eletrônicos	SP13/Celular-4G64GB	885360595-3028,9	Nordeste
677227	13*5*2019	Cauã	Werneck_Arantes	Alagoas/Rio Largo	       Eletrodoméstico	LR79/Lavadora-7kgBiVolt	860678768-2564,12	Nordeste
143774	10*7*2019	Nicole	Timberg_Schmütz	Alagoas/Rio Largo	              Eletroportateis	FP02/Ferro de passar-300Wvapor	876719163-134,72	Nordeste
149187	22*1*2019	Emanuelly	Oliveira_Maldonado	Alagoas/União dos Palmares	              Eletroportateis	FP02/Ferro de passar-300Wvapor	866143087-134,72	Nordeste
112427	23*4*2019	Luiz_Felipe	Menezes_Ferrari	Alagoas/União dos Palmares	                   Eletrônicos	TB7A/Tablet-7,5pol	817796822-844,65	Nordeste
216013	29*4*2019	Lavínia	Hickmann_Lambertini	Alagoas/União dos Palmares	         Eletrônicos	ST56/SmartTV-4k52pol	866164302-6074,38	Nordeste
562967	3*7*2019	Rafaela	Giácomo_D’Ávila	Alagoas/União dos Palmares	Eletroportateis	LQ67/Liquidificador-3velocidades	821045547-302,01	Nordeste
743643	12*7*2019	Heitor	Bernardi_Dieckmann	Alagoas/União dos Palmares	           Eletrodoméstico	CFO4/Fogão-6Bocas110V	897008566-1467,6	Nordeste
820902	27*2*2019	Bernardo	Castiel_Hickmann	Alagoas/União dos Palmares	           Eletrodoméstico	52SB/Fogão-4Bocas220V	832835314-966,24	Nordeste
536811	21*12*2019	Emanuel	Schoemberger_Müller	Alagoas/União dos Palmares	                   Eletroportateis	CF67/Cafeteira-convencional	844521547-105,51	Nordeste
*********	*********	*********	*********	*********	*********	*********	*********	*********
224953	19*5*2019	Ana Clara	Ferrari_Antunes	Amazonas/Coari	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	850151085-1581,03	Norte
460278	31*5*2019	Gabriel	Lins_Timberg	Amazonas/Coari	                   Eletroportateis	CF16/Cafeteira-smartCafe	817120317-552,5	Norte
326222	31*7*2019	Davi_Luiz	Campos_Albuquerque	Amazonas/Coari	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	897878353-1581,03	Norte
601307	28*11*2019	Caio	Fagundes_Vilela	Amazonas/Coari	          Eletrônicos	NT9X/Notebook-i78GB1TB	865148460-4896,53	Norte
347206	16*8*2019	Laura	Dolabella_Carvalho	Amazonas/Coari	           Eletrodoméstico	52SB/Fogão-4Bocas220V	834027279-966,24	Norte
870834	6*9*2019	Pedro_novo	Resende_Close	Amazonas/Coari	                   Eletrônicos	TB7A/Tablet-7,5pol	891173199-844,65	Norte
852595	6*11*2019	Vicente	Timberg_Santana	Amazonas/Itacoatiara	                   Eletroportateis	CF67/Cafeteira-convencional	883364247-105,51	Norte
795064	16*6*2019	Melissa	Ferrari_Hickmann	Amazonas/Itacoatiara	                 Eletrodoméstico	C45L/Refrigerador-450litrosFros	848014489-2473,37	Norte
184418	2*2*2019	Heloísa	Rios_Marinho	Amazonas/Manacapuru	Eletroportateis	LQ12/Liquidificador-5velocidades	839381584-588,82	Norte
901157	25*8*2019	Maria_Luiza	Mazzaropi_Noronha	Amazonas/Manacapuru	              Eletroportateis	FP32/Ferro de passar-500Wvapor	850246767-552,42	Norte
559780	2*10*2019	Alice	Carvalho_Sampaio	Amazonas/Manacapuru	              Eletroportateis	FP02/Ferro de passar-300Wvapor	870960496-134,72	Norte
614121	15*11*2019	João Miguel	Bonner_Schoemberger	Amazonas/Manacapuru	                   Eletrônicos	TB47/Tablet-9,6pol	841088095-1471,23	Norte
745914	8*11*2019	Nicole	Steves_Fischer	Amazonas/Manaus	       Eletrodoméstico	LR13/Lavadora-12kg110V	872842211-2675,99	Norte
731016	28*8*2019	Victor_Hugo	Fagundes_Sampaio	Amazonas/Parintins	         Eletrônicos	ST56/SmartTV-4k52pol	884930491-6074,38	Norte
159225	24*10*2019	Rafael	Werneck_Resende	Amazonas/Parintins	        Eletrônicos	SP3X/Celular-4GB128GB	838443074-4821,03	Norte
792385	20*11*2019	Maria_Júlia	Gonçalves_Fischer	Amazonas/Parintins	                   Eletrônicos	TB7A/Tablet-7,5pol	852804404-844,65	Norte
226584	29*1*2019	Marina	Alves_Maldonado	Amazonas/Parintins	        Eletrônicos	SP13/Celular-4G64GB	822819241-3028,9	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
892584	24*1*2019	Guilherme	Ganzarolli_Drummond	Amapa/Laranjal do Jari	              Eletroportateis	FP32/Ferro de passar-500Wvapor	858327949-552,42	Norte
210230	1*3*2019	Daniel	Bial_Menezes	Amapa/Laranjal do Jari	                   Eletrônicos	TB47/Tablet-9,6pol	821314882-1471,23	Norte
747993	1*4*2019	Caio	Barcellos_Carvalho	Amapa/Laranjal do Jari	        Eletrônicos	SP3X/Celular-4GB128GB	827337390-4821,03	Norte
478694	17*7*2019	Maria_Alice	Schmütz_Chapelin	Amapa/Laranjal do Jari	                   Eletrônicos	TB47/Tablet-9,6pol	878257352-1471,23	Norte
776718	12*5*2019	Cecília	Arantes_Gimenez	Amapa/Macapá	          Eletrônicos	NT9X/Notebook-i78GB1TB	876596437-4896,53	Norte
863891	25*10*2019	Pietro	Arantes_Mazzaropi	Amapa/Mazagão	                   Eletroportateis	CF67/Cafeteira-convencional	845838967-105,51	Norte
684763	13*12*2019	Heloísa	Marques_Antunes	Amapa/Mazagão	                   Eletroportateis	CF67/Cafeteira-convencional	847912976-105,51	Norte
865137	25*1*2019	Rafael	Sanches_Figueiredo	Amapa/Mazagão	          Eletrônicos	NT9X/Notebook-i78GB1TB	890302180-4896,53	Norte
635314	12*6*2019	Isaac	Werneck_Hickmann	Amapa/Mazagão	         Eletrônicos	ST88/SmartTV-FullHD32pol	863525821-3628,63	Norte
800857	20*6*2019	João Lucas	Alencar_Kannenberg	Amapa/Mazagão	                   Eletroportateis	CF67/Cafeteira-convencional	897232125-105,51	Norte
873402	17*1*2019	Maria_Alice	Lins_Moscovis	Amapa/Oiapoque	Eletroportateis	LQ67/Liquidificador-3velocidades	862350392-302,01	Norte
869753	10*6*2019	Pedro Henrique	Schmütz_Noronha	Amapa/Oiapoque	Eletroportateis	LQ12/Liquidificador-5velocidades	899740802-588,82	Norte
804460	11*10*2019	Murilo	Martins_Muniz	Amapa/Oiapoque	              Eletroportateis	FP32/Ferro de passar-500Wvapor	833881349-552,42	Norte
534633	19*9*2019	Heitor	Fontenelle_Sampaio	Amapa/Oiapoque	         Eletrônicos	ST56/SmartTV-4k52pol	884957676-6074,38	Norte
697503	23*9*2019	Pedro	Vargas_Dolabella	Amapa/Oiapoque	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	846271252-1581,03	Norte
617313	9*6*2019	Manuela	Lins_Castiel	Amapa/Santana	           Eletrodoméstico	52SB/Fogão-4Bocas220V	835517103-966,24	Norte
