*********	*********	*********	*********	*********	*********	*********	*********	*********
ID SOLICITACAO	DATA SOLICITACAO	NOME CLIENTE	SOBRENOME CLIENTE	UF CLIENTE/CIDADE	DEPARTAMENTO	SKU/PRODUTO/CARACTERISTICAS	NUM NF/VALOR NF	REGIAO
564420	31*5*2019	Maria Fernanda	Abravanel_Bittencourt	Acre/Feijó	                   Eletrônicos	TB7A/Tablet-7,5pol	859981123-844,65	Norte
298877	20*12*2019	João Pedro	Vasconcelos_Montenegro	Acre/Feijó	         Eletrônicos	ST56/SmartTV-4k52pol	823742019-6074,38	Norte
819464	16*2*2019	Ana_Laura	Lessa_Drummond	Acre/Rio Branco	Eletroportateis	LQ67/Liquidificador-3velocidades	866465554-302,01	Norte
147526	13*4*2019	Luiz_Gustavo	Schmütz_Kannenberg	Acre/Sena Madureira	           Eletrodoméstico	52SB/Fogão-4Bocas220V	835657074-966,24	Norte
135267	18*11*2019	Luiz_Henrique	Muniz_Kannenberg	Acre/Tarauacá	                 Eletrodoméstico	C45L/Refrigerador-450litrosFros	820767346-2473,37	Norte
338838	22*8*2019	Nicole	Lafaiete_Falabella	Acre/Tarauacá	        Eletrônicos	SP13/Celular-4G64GB	890893559-3028,9	Norte
*********	*********	*********	*********	*********	*********	*********	*********	*********
511160	7*3*2019	Maria Clara	Sanches_Schoemberger	Alagoas/Arapiraca	                   Eletrônicos	TB47/Tablet-9,6pol	841711395-1471,23	Nordeste
452359	20*5*2019	Beatriz	Andrade_Albuquerque	Alagoas/Arapiraca	                   Eletroportateis	CF16/Cafeteira-smartCafe	842910783-552,5	Nordeste
711235	1*8*2019	Emanuelly	Bial_Evelyn	Alagoas/Arapiraca	                   Eletrônicos	TB47/Tablet-9,6pol	864306354-1471,23	Nordeste
345082	23*3*2019	Davi_Miguel	Barcellos_Boaventura	Alagoas/Maceió	             Eletrodoméstico	AC75/Ar condicionado-7500BTUSplit	828643379-1581,03	Nordeste
556024	26*3*2019	Ana_Júlia	Martins_Evelyn	Alagoas/Maceió	         Eletrônicos	ST88/SmartTV-FullHD32pol	822766929-3628,63	Nordeste
169416	28*6*2019	Emanuel	Roriz_Bial	Alagoas/Palmeira dos Índios	             Eletrodoméstico	AC12/Ar condicionado-12000BTUSplit	867787101-2182,42	Nordeste
509859	15*5*2019	Ana_Júlia	Riche_Hickmann	Alagoas/Palmeira dos Índios	        Eletrônicos	SP3X/Celular-4GB128GB	855848145-4821,03	Nordeste
169613	11*8*2019	Heitor	Annenberg_Vitti	Alagoas/Rio Largo	              Eletroportateis	FP32/Ferro de passar-500Wvapor	885318752-552,42	Nordeste
787037	13*4*2019	Enzo Gabriel	Fernandes_Resende	Alagoas/União dos Palmares	                   Eletrônicos	TB47/Tablet-9,6pol	815180953-1471,23	Nordeste
888284	27*9*2019	Felipe	Santana_Schumacher	Alagoas/União dos Palmares	         Eletrônicos	ST56/SmartTV-4k52pol	852804238-6074,38	Nordeste
*********	*********	*********	*********	*********	*********	*********	*********	*********
